指数代号,指数名称,1级分类,2级分类,对应行业代码,,,,,,
883018.WI,证监会农林牧渔,1,0,,,,,,,
883019.WI,证监会采矿业,1,0,,,,,,,
883020.WI,证监会制造业,1,0,,,,,,,
883021.WI,证监会水电煤气,1,0,,,,,,,
883022.WI,证监会建筑业,1,0,,,,,,,
883023.WI,证监会批发零售,1,0,51103,,,,,,
883024.WI,证监会交运仓储,1,0,,,,,,,
883025.WI,证监会住宿餐饮,1,0,,,,,,,
883026.WI,证监会信息技术,1,0,,,,,,,
883027.WI,证监会金融业,1,0,,,,,,,
883028.WI,证监会房地产,1,0,70119,,,,,,
883029.WI,证监会租赁商务,1,0,,,,,,,
883030.WI,证监会科研技术,1,0,,,,,,,
883031.WI,证监会水利环境,1,0,,,,,,,
883032.WI,证监会卫生社会,1,0,,,,,,,
883033.WI,证监会文化体育,1,0,,,,,,,
883034.WI,证监会综合企业,1,0,,,,,,,
883035.WI,证监会教育,1,0,,,,,,,
883111.WI,证监会食品加工,0,1,13012,13013,13014,13015,13016,13017,13018
883112.WI,证监会食品制造,0,1,14019,14020,14021,14022,,,
883113.WI,证监会饮料制造,0,1,15023,15024,,,,,
883114.WI,证监会纺织,0,1,17026,17027,,,,,
883115.WI,证监会纺织服装,0,1,17028,17029,17030,18031,,,
883116.WI,证监会皮革制鞋,0,1,19032,19033,,,,,
883117.WI,证监会木材加工,0,1,20034,,,,,,
883118.WI,证监会家具制造,0,1,21035,,,,,,
883119.WI,证监会造纸,0,1,22036,,,,,,
883120.WI,证监会印刷,0,1,23037,,,,,,
883121.WI,证监会文体用品,0,1,24038,,,,,,
883122.WI,证监会石油炼焦,0,1,25039,25040,,,,,
883123.WI,证监会化学制品,0,1,26041,26042,26043,26044,26045,26046,26047
883124.WI,证监会医药制造,0,1,27048,,,,,,
883125.WI,证监会化纤制造,0,1,28049,,,,,,
883126.WI,证监会橡胶塑料,0,1,29050,29051,,,,,
883127.WI,证监会非金属,0,1,30052,30053,30054,30055,30056,30057,30058
883128.WI,证监会黑色金属,0,1,31059,31060,31061,,,,
883129.WI,证监会有色金属,0,1,32062,32063,,,,,
883130.WI,证监会金属制品,0,1,33064,,,,,,
883131.WI,证监会通用设备,0,1,34065,34066,34067,34068,34069,34070,
883132.WI,证监会专用设备,0,1,35071,35072,35073,35074,,,
883133.WI,证监会汽车制造,0,1,36075,36076,,,,,
883134.WI,证监会运输设备,0,1,37077,37078,37079,,,,
883135.WI,证监会电气机械,0,1,38080,38081,38082,38083,38084,38085,
883136.WI,证监会电子设备,0,1,39086,39087,39088,39089,39090,39091,
883137.WI,证监会仪器仪表,0,1,40092,,,,,,
883138.WI,证监会其他制造业,0,1,41093,,,,,,
883139.WI,证监会农业,0,1,01001,,,,,,
883140.WI,证监会林业,0,1,02002,,,,,,
883141.WI,证监会畜牧,0,1,03003,,,,,,
883142.WI,证监会渔业,0,1,04004,,,,,,
883143.WI,证监会农林牧渔服务,0,1,05005,,,,,,
883144.WI,证监会煤炭开采,0,1,06006,,,,,,
883145.WI,证监会石油天然气开采,0,1,07007,,,,,,
883146.WI,证监会黑色金属矿采选,0,1,08008,,,,,,
883147.WI,证监会有色金属矿采选,0,1,09009,,,,,,
883148.WI,证监会开采辅助活动,0,1,10010,11011,,,,,
883149.WI,证监会电热生产供应,0,1,44096,,,,,,
883150.WI,证监会燃气生产供应,0,1,45097,,,,,,
883151.WI,证监会水生产供应,0,1,46098,,,,,,
883152.WI,证监会房屋建筑,0,1,47099,,,,,,
883153.WI,证监会土木工程建筑,0,1,48100,,,,,,
883154.WI,证监会建筑安装,0,1,49101,,,,,,
883155.WI,证监会建筑装饰,0,1,50102,,,,,,
883156.WI,证监会批发,0,1,,,,,,,
883157.WI,证监会零售,0,1,,,,,,,
883158.WI,证监会铁路运输,0,1,53104,,,,,,
883159.WI,证监会道路运输,0,1,54105,,,,,,
883160.WI,证监会水上运输,0,1,55106,,,,,,
883161.WI,证监会航空运输,0,1,56107,,,,,,
883162.WI,证监会管道运输,0,1,57108,,,,,,
883163.WI,证监会运输代理,0,1,58109,,,,,,
883164.WI,证监会仓储,0,1,59110,,,,,,
883165.WI,证监会住宿,0,1,61112,,,,,,
883166.WI,证监会餐饮,0,1,62113,,,,,,
883167.WI,证监会电信广电卫星,0,1,63114,,,,,,
883168.WI,证监会互联网,0,1,,,,,,,
883169.WI,证监会软件信息技术,0,1,65115,,,,,,
883170.WI,证监会货币金融服务,0,1,66116,,,,,,
883171.WI,证监会资本市场服务,0,1,67117,,,,,,
883172.WI,证监会保险,0,1,68118,,,,,,
883173.WI,证监会其他金融,0,1,,,,,,,
883175.WI,证监会租赁,0,1,71120,,,,,,
883176.WI,证监会商务服务,0,1,72121,,,,,,
883177.WI,证监会研究试验发展,0,1,73122,,,,,,
883178.WI,证监会专业技术服务,0,1,74123,,,,,,
883180.WI,证监会生态环保,0,1,77126,,,,,,
883181.WI,证监会公共设施管理,0,1,78127,,,,,,
883182.WI,证监会教育Ⅱ,0,1,82130,,,,,,
883183.WI,证监会卫生,0,1,83131,,,,,,
883184.WI,证监会社会工作,0,1,84132,,,,,,
883185.WI,证监会新闻出版,0,1,85133,,,,,,
883186.WI,证监会广电影视录音制作,0,1,86134,88136,89137,,,,
883187.WI,证监会文化艺术,0,1,87135,,,,,,
883189.WI,证监会废弃资源综合利用,0,1,42094,43095,,,,,
